IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.1,41:41.7,0,2.11930275,8.289232254,128.3786297,0.00772086,-0.006109962
192.168.0.2,45:53.4,0,1.661539078,3.089675903,37.02163696,0.020714147,0.003054314
192.168.0.1,46:42.5,0,1.920461655,5.255951881,73.9569664,0.012176672,0.006330318
192.168.0.2,50:53.4,0,1.46985054,2.986865044,21.52347565,0.021427148,0.001787395
192.168.0.1,51:42.5,0,2.114057541,7.559866905,114.0124798,0.008465758,0.004742298
192.168.0.1,55:53.2,0,2.074241638,5.90098381,76.3399601,0.010845649,0.004029188
192.168.0.2,56:42.3,0,1.311063766,2.59929657,20.652771,0.024622046,0.002502089
192.168.0.2,00:53.0,0,1.728773117,2.972002029,21.58880234,0.021534306,0.002199535
192.168.0.1,01:42.1,0,2.149820328,6.958355904,107.3698997,0.009197575,-0.005640926
192.168.0.1,05:52.8,0,2.03537941,5.808372498,92.10681915,0.011018577,0.00802762
192.168.0.2,06:41.9,0,1.579999924,2.77472496,19.19746399,0.023065349,0.000921221
192.168.0.2,10:53.3,0,1.669406891,3.18379879,24.3062973,0.020101773,0.001142473
192.168.0.1,11:42.4,0,2.117872238,8.254685402,124.6511936,0.007753173,0.000609741
192.168.0.2,15:53.1,0,1.642465591,4.508256912,121.481657,0.014196174,0.006359777
192.168.0.1,16:42.2,0,1.731157303,5.365109444,66.43843651,0.011928927,0.003745384
192.168.0.5,20:04.0,100,999999999,0,0,0,0
192.168.0.2,20:53.1,0,1.539468765,2.30278492,7.874965668,0.027792435,0.001905479
192.168.0.2,25:52.8,0,1.726865768,3.00383091,40.69232941,0.021306126,0.003079548
192.168.0.1,26:41.9,0,1.883745193,5.323586464,88.1755352,0.012021971,-0.00296608
192.168.0.4,30:48.6,100,999999999,0,0,0,0
192.168.0.2,30:53.6,0,1.675844193,2.2935009,6.008863449,0.027904938,0.001757574
192.168.0.1,31:42.7,0,1.947164536,7.546749115,92.51332283,0.008480473,0.002313232
192.168.0.2,40:53.5,0,1.693725586,3.056178093,26.24297142,0.020941188,0.000236826
192.168.0.1,41:42.6,0,2.091646194,6.109380722,88.77706528,0.010475694,0.006138172
192.168.0.1,45:53.5,0,2.080202103,6.934022903,104.0813923,0.009229851,-0.007153425
192.168.0.2,46:42.6,0,1.491069794,2.656106949,19.69337463,0.024095415,0.000953674
192.168.0.2,50:53.5,0,1.534938812,3.026499748,21.11721039,0.021146541,0.001876364
192.168.0.5,51:41.6,100,999999999,0,0,0,0
192.168.0.1,51:42.6,0,2.14099884,5.169467926,121.7329502,0.012380384,0.005989504
192.168.0.2,55:53.3,0,1.523733139,2.843503952,23.14805984,0.022507442,0.000700521
192.168.0.1,56:42.4,0,2.086162567,5.558772087,77.36372948,0.011513334,-0.000751114
192.168.0.5,00:04.0,100,999999999,0,0,0,0
192.168.0.2,00:53.1,0,1.539945602,2.408618927,6.778478622,0.026571243,0.001740789
192.168.0.1,01:42.1,0,2.047300339,6.378846169,113.8491631,0.010033162,0.000233316
192.168.0.2,05:52.8,0,1.136064529,2.966589928,45.3953743,0.021573592,-5.99E-05
192.168.0.1,06:41.9,0,1.971006393,6.594820023,114.0093803,0.009704586,-0.0055793
192.168.0.2,10:53.3,0,1.551628113,2.614245415,11.10696793,0.024481252,0.000855446
192.168.0.1,11:42.4,0,2.082109451,6.272668839,98.28567505,0.010202994,0.001220942
192.168.0.2,15:53.3,0,1.740455627,2.70720005,23.29087257,0.023640661,0.002526455
192.168.0.1,16:42.4,0,2.068758011,3.677725792,33.81896019,0.017402059,0.000539074
192.168.0.2,20:53.2,0,1.663923264,2.232313156,4.474878311,0.028669813,0.00197094
192.168.0.1,21:42.2,0,2.106904984,5.164704323,101.9263268,0.012391803,-0.003014688
192.168.0.2,25:52.9,0,1.721143723,2.50187397,15.50936699,0.025580825,0.001063328
192.168.0.1,26:42.0,0,2.099752426,6.485843658,98.06108475,0.009867645,-0.001790638
192.168.0.2,30:52.7,0,1.670122147,2.760181427,16.90888405,0.023186882,0.002199202
192.168.0.1,31:41.9,0,2.13265419,27.48613834,1076.774359,0.002328446,-0.040161238
192.168.0.2,35:53.6,0,1.562833786,2.396254539,9.854793549,0.026708348,0.001717577
192.168.0.1,36:42.7,0,2.109050751,6.083240509,81.80236816,0.010520708,0.007622318
